"T","B","b","xmid","s","xshift","T2","B2","b2","xmid2","s2","xshift2"
0,1.06666666666667,-1,2,1,0,0.0476190476190476,0.0476190476190476,0,0,0,0
0,1,-1,5,1,0,0.10955710955711,0.10955710955711,0,0,0,0
0,1.5,-1,4,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.11538461538462,-1,4,1,0,0.133540372670807,0.133540372670807,0,0,0,0
0,1.61111111111111,-1,2,1,0,0.604029011923749,0.604029011923749,0,0,0,0
0,1.23611111111111,-1,2,1,0,0.0277777777777778,0.0277777777777778,0,0,0,0
0,1.11111111111111,-1,2,1,0,0.4375,0.4375,0,0,0,0
0,2.34102564102564,-1,1,1,0,0.79234997444698,0.79234997444698,0,0,0,0
0,1,-1,5,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.25,-1,4,1,0,0.0113636363636364,0.0113636363636364,0,0,0,0
0,1.21428571428571,-1,6,1,0,0.0714285714285714,0.0714285714285714,0,0,0,0
0,1.15384615384615,-1,2,1,0,0.159313725490196,0.159313725490196,0,0,0,0
0,1.98055555555556,-1,3,1,0,0.0166666666666667,0.0166666666666667,0,0,0,0
0,1.2,-1,6,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,2.32133333333333,-1,4,1,0,0.0750156936597615,0.0750156936597615,0,0,0,0
0,1.55555555555556,-1,2,1,0,0.25,0.25,0,0,0,0
0,1.16666666666667,-1,4,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.20833333333333,-1,4,1,0,0.157575757575758,0.157575757575758,0,0,0,0
0,1.11764705882353,-1,3,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1,-1,6,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.5625,-1,6,1,0,0.159313725490196,0.159313725490196,0,0,0,0
0,1.64733333333333,-1,3,1,0,0.209925589669066,0.209925589669066,0,0,0,0
0,1,-1,6,1,0,0.8,0.8,0,0,0,0
0,1.42105263157895,-1,1,1,0,0.0476190476190476,0.0476190476190476,0,0,0,0
0,1.41666666666667,-1,4,1,0,0.0208333333333333,0.0208333333333333,0,0,0,0
0,1.94871794871795,-1,1,1,0,0.672619047619048,0.672619047619048,0,0,0,0
0,1,-1,5,1,0,0.19241452991453,0.19241452991453,0,0,0,0
