"id","recr","mort","occ","w"
324,324,324,3,0.000187863986473793
325,325,325,3,0.000187863986473793
326,326,326,3,0.000187863986473793
327,327,327,3,0.000187863986473793
328,328,328,3,0.000187863986473793
329,329,329,3,0.000187863986473793
330,330,330,3,0.000187863986473793
331,331,331,3,0.000187863986473793
332,332,332,2,0.000125242657649195
333,333,333,2,0.000125242657649195
334,334,334,2,0.000125242657649195
335,335,335,2,0.000125242657649195
336,336,336,2,0.000125242657649195
337,337,337,2,0.000125242657649195
338,338,338,2,0.000125242657649195
339,339,339,2,0.000125242657649195
340,340,340,1,6.26213288245977e-05
341,341,341,1,6.26213288245977e-05
342,342,342,1,6.26213288245977e-05
343,343,343,1,6.26213288245977e-05
344,344,344,1,6.26213288245977e-05
345,345,345,1,6.26213288245977e-05
346,346,346,1,6.26213288245977e-05
347,347,347,1,6.26213288245977e-05
348,348,348,1,6.26213288245977e-05
349,349,349,1,6.26213288245977e-05
350,350,350,1,6.26213288245977e-05
351,351,351,1,6.26213288245977e-05
352,352,352,1,6.26213288245977e-05
353,353,353,1,6.26213288245977e-05
354,354,354,1,6.26213288245977e-05
